pool_name,website_domain,website_url,profile_url,directory_source,source_type,confidence,first_seen,last_seen,notes
Mining-Dutch,mining-dutch.nl,https://www.mining-dutch.nl/,https://minerstat.com/pools/mining-dutch; https://miningpoolstats.stream/aeon,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
mining4people,mining4people.com,https://mining4people.com/,https://minerstat.com/pools/mining4people; https://miningpoolstats.stream/aegisum,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Miningcore Pro,miningcore.pro,https://miningcore.pro/,https://minerstat.com/pools/miningcore-pro,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
miningocean.org,aipg.miningocean.org,https://aipg.miningocean.org/,https://miningpoolstats.stream/aipowergrid,https://miningpoolstats.stream/sitemap.xml,directory,candidate,2026-04-17,2026-04-17,Pool website URL extracted from MiningPoolStats data file for aipowergrid.
Miningpoolfun,miningpool.fun,https://miningpool.fun/,https://minerstat.com/pools/miningpoolfun,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
MintPond,mintpond.com,https://mintpond.com/,https://minerstat.com/pools/mintpond,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Mmpool,mmpool.org,https://mmpool.org/,https://minerstat.com/pools/mmpool,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Mnshare,mnshare.info,https://mnshare.info/,https://minerstat.com/pools/mnshare,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Mofumofu,mofumofu.me,https://mofumofu.me/,https://minerstat.com/pools/mofumofu,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Molepool,molepool.com,https://molepool.com/,https://minerstat.com/pools/molepool,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
MoneroHash,monerohash.com,https://monerohash.com/,https://minerstat.com/pools/monerohash,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
monminepool.org,monminepool.org,https://monminepool.org/,https://miningpoolstats.stream/actinium,https://miningpoolstats.stream/sitemap.xml,directory,candidate,2026-04-17,2026-04-17,Pool website URL extracted from MiningPoolStats data file for actinium.
MPool,mpool.live,https://mpool.live/,https://minerstat.com/pools/mpool,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Mvis,mvis.ca,https://mvis.ca/,https://miningpoolstats.stream/0xbitcoin,https://miningpoolstats.stream/sitemap.xml,directory,candidate,2026-04-17,2026-04-17,Pool website URL extracted from MiningPoolStats data file for 0xbitcoin.
Myminers,myminers.org,https://myminers.org/,https://minerstat.com/pools/myminers,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
MyMiningPool,myminingpool.uk,https://myminingpool.uk/,https://minerstat.com/pools/myminingpool,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Nanopool,nanopool.org,https://nanopool.org/,https://minerstat.com/pools/nanopool,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Newpool,newpool.pw,https://newpool.pw/,https://minerstat.com/pools/newpool,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
NinjaNode,ninjanode.net,https://ninjanode.net/,https://minerstat.com/pools/ninjanode,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
NovaBlock,novablock.com,https://novablock.com/,https://minerstat.com/pools/novablock,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
ntminerpool.com,ntminerpool.com,https://ntminerpool.com/,https://miningpoolstats.stream/aipowergrid; https://miningpoolstats.stream/aleo; https://miningpoolstats.stream/alephium,https://miningpoolstats.stream/sitemap.xml,directory,candidate,2026-04-17,2026-04-17,Pool website URL extracted from MiningPoolStats data file for aipowergrid.
Ontopool,ontopool.com,https://ontopool.com/,https://minerstat.com/pools/ontopool,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
P2PoolMining,p2poolmining.us,https://p2poolmining.us/,https://minerstat.com/pools/p2poolmining,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Pearpool,pearpool.com,https://pearpool.com/,https://minerstat.com/pools/pearpool,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
PEGA Pool,pega-pool.com,https://www.pega-pool.com/,https://minerstat.com/pools/pega-pool,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
PhoenixMax,phoenixmax.org,https://phoenixmax.org/,https://minerstat.com/pools/phoenixmax,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Piratepool,piratepool.io,https://piratepool.io/,https://minerstat.com/pools/piratepool,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Pokemongomongo,pokemongomongo.tk,https://pokemongomongo.tk/,https://minerstat.com/pools/pokemongomongo,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Pool Gold,pool.gold,https://pool.gold/,https://minerstat.com/pools/pool-gold,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Pool-Pay,pool-pay.com,https://pool-pay.com/,https://minerstat.com/pools/pool-pay,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
pool.animeco.in,pool.animeco.in,https://pool.animeco.in/,https://miningpoolstats.stream/animecoin,https://miningpoolstats.stream/sitemap.xml,directory,candidate,2026-04-17,2026-04-17,Pool website URL extracted from MiningPoolStats data file for animecoin.
pool.express,pool.express,https://pool.express/,https://minerstat.com/pools/pool-express,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Pool4ever,pool4ever.com,https://pool4ever.com/,https://minerstat.com/pools/pool4ever,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Poolflare,poolflare.com,https://poolflare.com/,https://minerstat.com/pools/poolflare,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Poolin,poolin.com,https://poolin.com/,https://minerstat.com/pools/poolin,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
PopaBlock,popablock.com,https://popablock.com/,https://minerstat.com/pools/popablock,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
PowerPool,powerpool.io,https://powerpool.io/,https://minerstat.com/pools/powerpool,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Prohashing,prohashing.com,https://prohashing.com/,https://minerstat.com/pools/prohashing,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
ProsperPool,prosperpool.io,https://prosperpool.io/,https://minerstat.com/pools/prosperpool,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
PukkaPool,pukkapool.com,https://www.pukkapool.com/,https://minerstat.com/pools/pukkapool,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Raptoreum zone,raptoreum.zone,https://raptoreum.zone/,https://minerstat.com/pools/raptoreum-zone,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Ravenmine,ravenmine.one,https://ravenmine.one/,https://minerstat.com/pools/ravenmine,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Rawpool,rawpool.com,https://rawpool.com/,https://minerstat.com/pools/rawpool,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
rplant.xyz,pool.rplant.xyz,https://pool.rplant.xyz/,https://minerstat.com/pools/rplant-xyz; https://miningpoolstats.stream/adventurecoin,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Rupool.pro,rupool.org,https://rupool.org/,https://minerstat.com/pools/rupool,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
RYO Pool,ryopool.eu,https://ryopool.eu/,https://minerstat.com/pools/ryo-pool,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
