node_host,port,node_type,pool_name,coin,source_url,first_seen,last_seen,notes
129.158.240.206,21003,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
129.213.203.57,3333,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
129.80.182.124,8283,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
129.80.36.229,16661,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
130.162.237.49,27653,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
130.61.183.59,15168,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
130.61.189.205,6678,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
132.145.162.118,16661,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
134.122.102.4,8372,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
134.195.198.209,8338,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
134.255.219.14,7777,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
135.125.204.229,39180,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
135.181.111.153,8755,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
135.181.8.74,9999,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
136.50.61.237,18080,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
137.184.134.54,8372,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
137.220.55.31,2333,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
138.199.164.93,11811,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
138.199.196.145,22222,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
138.201.132.34,22556,addnode,AikaPool,DOGE,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
138.68.102.222,6502,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
139.59.130.206,22777,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
139.59.130.42,8767,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
139.84.240.191,44664,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
139.99.16.105,19000,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
139.99.239.18,29333,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
140.174.189.17,8033,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
140.227.60.249,25253,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
140.238.222.68,8333,addnode,AikaPool,BTC,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
140.99.164.14,9933,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
141.145.197.15,6678,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
141.145.197.15,21003,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
141.145.201.104,9977,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
141.145.211.89,8283,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
141.145.211.89,15420,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
141.147.104.85,15277,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
141.148.56.207,8283,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
141.148.56.207,9977,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
141.148.56.207,21003,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
141.95.53.143,10226,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
141.98.199.240,19706,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
142.4.199.2,19000,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
143.244.202.196,9333,addnode,AikaPool,LTC,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
143.47.186.26,6678,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
143.47.55.112,8632,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
144.31.59.184,18080,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
144.76.186.203,11811,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
144.91.102.155,4207,addnode,AikaPool,UNKNOWN,https://aikapool.com/,2026-04-21,2026-04-21,Blockchain peer node candidate extracted from addnode directive while crawling aikapool.com; not a mining pool Stratum endpoint.
