domain,port,scheme,pool_name,coin,algorithm,region,source_type,source_url,confidence,status,first_seen,last_seen,notes
solo-kas.2miners.com,3434,stratum+tcp,2miners.com,KAS,kHeavyHash,Global,official,https://solo-kas.2miners.com/; https://solo-kas.2miners.com/#pools,confirmed,active,2026-04-21,2026-08-10,Discovered by shallow crawling official website domain solo-kas.2miners.com. auto_source=official_site_crawl
solo-kas.2miners.com,3535,stratum+tcp,2miners.com,KAS,kHeavyHash,Global,official,https://solo-kas.2miners.com/; https://solo-kas.2miners.com/#pools,confirmed,active,2026-04-21,2026-08-10,Discovered by shallow crawling official website domain solo-kas.2miners.com. auto_source=official_site_crawl
nexa.2miners.com,5050,stratum+tcp,2miners.com,NEXA,NexaPoW,Global,official,https://nexa.2miners.com/; https://nexa.2miners.com/#pools,confirmed,active,2026-04-21,2026-08-10,Discovered by shallow crawling official website domain nexa.2miners.com. auto_source=official_site_crawl
nexa.2miners.com,5151,stratum+tcp,2miners.com,NEXA,NexaPoW,Global,official,https://nexa.2miners.com/; https://nexa.2miners.com/#pools,confirmed,active,2026-04-21,2026-08-10,Discovered by shallow crawling official website domain nexa.2miners.com. auto_source=official_site_crawl
solo-nexa.2miners.com,7070,stratum+tcp,2miners.com,NEXA,NexaPoW,Global,official,https://solo-nexa.2miners.com/; https://solo-nexa.2miners.com/#pools,confirmed,active,2026-04-21,2026-08-10,Discovered by shallow crawling official website domain solo-nexa.2miners.com. auto_source=official_site_crawl
solo-nexa.2miners.com,7171,stratum+tcp,2miners.com,NEXA,NexaPoW,Global,official,https://solo-nexa.2miners.com/; https://solo-nexa.2miners.com/#pools,confirmed,active,2026-04-21,2026-08-10,Discovered by shallow crawling official website domain solo-nexa.2miners.com. auto_source=official_site_crawl
rvn.2miners.com,6161,stratum+tcp,2miners.com,RVN,KawPoW,Global,official,https://rvn.2miners.com/; https://rvn.2miners.com/#pools,confirmed,active,2026-04-21,2026-08-10,Discovered by shallow crawling official website domain rvn.2miners.com. auto_source=official_site_crawl
rvn.2miners.com,16060,stratum+tcp,2miners.com,RVN,KawPoW,Global,official,https://rvn.2miners.com/faq,confirmed,active,2026-04-21,2026-08-10,Discovered by shallow crawling official website domain rvn.2miners.com. auto_source=official_site_crawl
solo-rvn.2miners.com,7070,stratum+tcp,2miners.com,RVN,KawPoW,Global,official,https://solo-rvn.2miners.com/; https://solo-rvn.2miners.com/#pools,confirmed,active,2026-04-21,2026-08-10,Discovered by shallow crawling official website domain solo-rvn.2miners.com. auto_source=official_site_crawl
solo-rvn.2miners.com,7171,stratum+tcp,2miners.com,RVN,KawPoW,Global,official,https://solo-rvn.2miners.com/; https://solo-rvn.2miners.com/#pools,confirmed,active,2026-04-21,2026-08-10,Discovered by shallow crawling official website domain solo-rvn.2miners.com. auto_source=official_site_crawl
solo-zec.2miners.com,1010,stratum+tcp,2miners.com,ZEC,Equihash,Global,official,https://solo-zec.2miners.com/; https://solo-zec.2miners.com/#pools,confirmed,active,2026-04-21,2026-08-10,Discovered by shallow crawling official website domain solo-zec.2miners.com. auto_source=official_site_crawl
solo-zec.2miners.com,1111,stratum+tcp,2miners.com,ZEC,Equihash,Global,official,https://solo-zec.2miners.com/; https://solo-zec.2miners.com/#pools,confirmed,active,2026-04-21,2026-08-10,Discovered by shallow crawling official website domain solo-zec.2miners.com. auto_source=official_site_crawl
zec.2miners.com,1111,stratum+tcp,2miners.com,ZEC,Equihash,Global,official,https://zec.2miners.com/; https://zec.2miners.com/#pools,confirmed,active,2026-04-21,2026-08-10,Discovered by shallow crawling official website domain zec.2miners.com. auto_source=official_site_crawl
